,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Remus_Lupin,Severus_Snape,James_Potter,Original_Female_Character,Ginny_Weasley,Lily_Evans_Potter,Tom_Riddle,Ron_Weasley,Reader,Voldemort,Luna_Lovegood,Fred_Weasley,Lucius_Malfoy,Pansy_Parkinson,Scorpius_Malfoy,Albus_Dumbledore,Regulus_Black,Bellatrix_Black_Lestrange,Neville_Longbottom,Newt_Scamander,George_Weasley,Narcissa_Black_Malfoy,Gellert_Grindelwald,Albus_Severus_Potter,Charlie_Weasley,Theodore_Nott,Fleur_Delacour,Oliver_Wood,Percy_Weasley,Nymphadora_Tonks,Blaise_Zabini,Original_Character,Original_Percival_Graves,Original_Male_Character,Teddy_Lupin,Cedric_Diggory,James_Sirius_Potter,Minerva_McGonagall,Daphne_Greengrass,Bill_Weasley,Tina_Goldstein,Astoria_Greengrass,Rose_Weasley,Marcus_Flint,Theseus_Scamander,Credence_Barebone,Marlene_McKinnon,Andromeda_Black_Tonks,Viktor_Krum,Tony_Stark,Lavender_Brown,Peter_Pettigrew,Dean_Thomas,Seamus_Finnigan,Arthur_Weasley,Petunia_Evans_Dursley,Molly_Weasley,Cho_Chang,Lily_Luna_Potter,Salazar_Slytherin,Loki_,Steve_Rogers,Other,Victoire_Weasley,Parvati_Patil,Fenrir_Greyback,Player_Character,Godric_Gryffindor,Bartemius_Crouch_Jr.,Angelina_Johnson,Percy_Jackson,James_Bucky_Barnes,Ted_Tonks,Dorcas_Meadowes,Rodolphus_Lestrange,Katie_Bell,Hannah_Abbott,Vernon_Dursley,Dudley_Dursley,Antonin_Dolohov,Leo_Knut,Sherlock_Holmes,Millicent_Bulstrode,Padma_Patil,Thorfinn_Rowle,Finn_O&#39;Hara,Lily_Evans,Dean_Winchester,Susan_Bones,Kylo_Ren,Queenie_Goldstein,Abraxas_Malfoy,Rabastan_Lestrange,Crowley_,Cormac_McLaggen,Kingsley_Shacklebolt,Annabeth_Chase,Merlin,Orion_Black,Aziraphale,Leta_Lestrange,Rubeus_Hagrid,John_Watson,Merula_Snyde,Peter_Parker,Rey,Jacob_Kowalski,Gilderoy_Lockhart,Nico_di_Angelo,Loki,Walburga_Black,Alice_Longbottom,Death,Arthur_Pendragon_(Merlin),Harriet_Potter_|_Rigel_Black,Logan_Tremblay_(lumosinlove),Gregory_Goyle,Rowena_Ravenclaw,Everyone,Adrian_Pucey,Alastor_Moody,Tom_Riddle_Sr.,Clint_Barton,Helga_Hufflepuff,Audrey_Weasley,Natasha_Romanov_,Marauders,Player_Character_(Hogwarts_Mystery),Logan_Tremblay,Edward_Cullen,Penny_Haywood,Lee_Jordan
Tom_Riddle,1952,24,456,5,4,71,38,179,56,3,2,3,54,14,17,1,13,7,0,11,8,14,0,1,1,1,3,0,1,0,0,0,1,1,0,20,0,13,0,4,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,1,1,0,0,0,44,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,822,244,1639,2,6,17,0,32,28,0,3,0,28,0,26,13,13,60,0,0,1,0,25,0,16,1,0,0,4,4,2,1,9,1,45,2,0,1,1,1,0,6,6,9,0,7,1,0,0,0,0,0,31,0,37,1,10,10,1,0,4,0,2,0,0,0,2,0,2,0,0,0,0,1,0,1,0,1,0,2,1,0,1,0,0,0,6,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Reader,89,503,27,209,175,297,41,0,6,0,54,28,0,1,11,200,24,3,1,2,48,9,40,72,187,9,3,0,32,4,2,24,5,1,8,3,12,1,2,39,1,1,0,27,0,0,0,1,15,7,1,0,0,3,1,2,2,1,0,0,0,0,0,1,3,6,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
Voldemort,1604,16,83,0,0,69,4,20,3,7,14,0,1,0,1,0,11,2,0,11,5,130,1,0,0,3,3,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,2,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,265,146,156,5,7,52,0,13,464,1,17,26,11,1,1,3,3,26,1,1,4,9,130,0,17,4,0,0,13,31,2,0,5,4,27,5,0,6,2,1,1,0,3,3,0,11,0,0,0,1,0,1,2,2,2,0,6,1,0,0,0,31,2,1,6,3,1,0,0,2,0,0,2,1,1,5,0,0,0,0,4,0,2,0,0,0,1,6,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Fred_Weasley,131,28,596,3,1,4,0,280,7,0,1,13,200,0,3,0,1,4,0,0,0,0,0,0,349,0,0,0,7,2,0,7,6,0,2,20,0,3,0,13,0,0,2,6,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Lucius_Malfoy,179,74,357,37,27,235,8,38,19,9,13,13,24,11,3,1,0,6,2,0,6,15,1,0,2,392,1,0,4,2,0,2,3,0,1,2,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,5,0,2,0,0,0,0,14,1,2,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pansy_Parkinson,143,113,380,11,4,4,1,12,93,0,7,60,3,2,26,4,6,0,0,0,1,0,210,0,9,6,0,1,20,32,1,3,39,2,28,2,0,6,0,4,4,0,28,0,0,2,1,1,0,0,0,1,1,8,17,0,1,0,0,0,0,4,2,1,14,6,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,1,6,6,1,0,0,0,1,1,0,0,1,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Scorpius_Malfoy,54,27,10,0,0,0,0,10,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,822,0,0,0,0,0,0,4,2,0,4,6,0,49,0,0,0,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,93,1,2,1,4,46,0,4,1,0,11,0,2,11,1,0,0,0,0,1,7,0,1,34,0,0,867,0,0,0,0,0,0,0,0,4,4,4,0,0,0,73,0,0,1,0,0,0,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulus_Black,60,2,50,325,28,57,289,78,0,30,8,1,48,5,4,0,6,1,0,7,0,2,1,2,0,4,0,0,4,1,0,0,1,1,0,12,0,7,2,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,1,3,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,42,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
Bellatrix_Black_Lestrange,29,6,694,36,3,14,2,20,3,5,14,0,9,130,9,0,15,0,0,0,2,0,3,0,0,74,0,0,1,0,2,0,0,1,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,47,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neville_Longbottom,164,118,115,1,4,27,0,63,36,0,0,25,40,1,130,0,1,210,1,1,1,3,0,0,2,0,0,0,25,30,0,2,5,0,27,4,0,2,0,1,3,3,7,1,0,2,1,0,0,0,0,0,3,0,1,0,10,31,0,0,0,1,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Newt_Scamander,10,0,2,0,0,0,0,15,0,0,1,0,72,0,0,0,0,0,0,34,2,0,0,0,0,0,34,0,1,0,0,0,0,0,0,5,284,1,0,0,0,0,0,0,319,0,0,0,184,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George_Weasley,160,28,138,3,1,5,0,194,13,0,1,16,187,0,17,349,2,9,0,0,0,0,2,0,0,0,0,0,9,1,0,11,8,4,2,22,0,3,0,6,0,0,2,7,0,0,0,1,0,0,0,0,6,1,0,0,0,3,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,68,1,0,0,0,0,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Narcissa_Black_Malfoy,31,31,260,26,15,80,8,10,3,46,1,1,9,3,4,0,392,6,0,0,4,74,0,0,0,0,0,0,3,6,7,0,1,1,2,3,0,0,0,0,0,2,1,3,0,5,0,0,0,0,6,52,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gellert_Grindelwald,14,0,6,0,0,7,0,0,0,0,3,0,3,3,0,0,1,0,0,867,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,2,46,2,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Severus_Potter,29,26,1,1,0,0,0,23,7,0,0,0,0,0,0,0,0,1,822,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,13,0,70,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie_Weasley,111,78,206,3,1,10,0,76,4,1,1,4,32,0,13,7,4,20,0,0,4,1,25,1,9,3,0,2,0,6,4,13,6,29,4,6,0,12,3,0,1,0,1,36,0,3,1,2,0,0,0,0,5,1,4,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15,0,0,1,0
Theodore_Nott,150,141,243,0,0,1,0,22,22,0,0,4,4,0,31,2,2,32,0,0,1,0,30,0,1,6,0,0,6,0,1,2,1,0,55,5,0,4,0,0,0,0,18,0,0,4,0,7,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0
Fleur_Delacour,146,2,380,4,2,2,1,2,16,0,0,2,2,0,2,0,0,1,0,0,0,2,0,0,0,7,0,0,4,1,0,2,0,34,2,0,0,3,0,9,0,0,2,110,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver_Wood,10,3,33,1,0,0,0,37,8,0,0,1,24,0,0,7,2,3,0,0,0,0,2,0,11,0,0,0,13,2,2,0,312,0,0,5,0,1,1,9,1,1,1,0,0,0,0,167,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,1
Percy_Weasley,19,18,41,0,0,11,0,17,9,0,1,9,5,0,5,6,3,39,0,0,1,0,5,0,8,1,0,0,6,1,0,312,0,0,0,2,0,1,0,1,0,0,1,5,0,4,0,17,0,0,0,0,2,2,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,50,0,0,0,0,0,0,0
Nymphadora_Tonks,58,3,9,11,425,37,0,2,8,0,1,1,1,0,4,0,0,2,0,0,1,1,0,0,4,1,0,0,29,0,34,0,0,0,0,1,0,0,1,0,0,1,1,9,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0
Blaise_Zabini,169,94,93,0,0,4,0,20,69,0,0,45,8,0,27,2,1,28,4,0,0,0,27,0,2,2,1,0,4,55,2,0,0,0,0,12,0,0,2,1,0,0,15,1,0,3,0,1,0,0,0,0,2,0,7,0,12,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,91,64,10,21,13,31,6,0,3,0,20,2,3,2,5,20,2,2,2,4,12,1,4,5,22,3,2,1,6,5,0,5,2,1,12,64,0,0,7,7,11,0,2,0,0,2,5,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1
Original_Percival_Graves,11,0,2,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,284,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,31,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character,98,31,26,11,18,38,5,81,1,5,13,1,1,4,6,3,2,6,4,4,7,2,2,1,3,0,2,4,12,4,3,1,1,0,0,0,1,29,1,12,2,4,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,4,0,1,9,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0
Teddy_Lupin,69,14,19,3,7,0,0,9,1,0,0,1,2,0,2,0,0,0,6,0,2,0,0,0,0,0,0,13,3,0,0,1,0,1,2,7,0,1,0,0,194,0,0,1,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cedric_Diggory,217,9,33,0,0,0,1,51,2,0,4,1,39,1,1,13,0,4,0,0,0,0,1,0,6,0,0,0,0,0,9,9,1,0,1,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
