,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Hermione_Granger,Tom_Riddle,Voldemort,Albus_Dumbledore,Gellert_Grindelwald,Scorpius_Malfoy,James_Potter,Bellatrix_Black_Lestrange,Ginny_Weasley,Albus_Severus_Potter,Ron_Weasley,Luna_Lovegood,Original_Percival_Graves,Newt_Scamander,Pansy_Parkinson,Oliver_Wood,Regulus_Black,Lucius_Malfoy,Fleur_Delacour,Narcissa_Black_Malfoy,Neville_Longbottom,Percy_Weasley,James_Sirius_Potter,Credence_Barebone,Teddy_Lupin,Blaise_Zabini,Charlie_Weasley,Original_Male_Character,Theodore_Nott,Marcus_Flint,Cedric_Diggory,Theseus_Scamander,George_Weasley,Seamus_Finnigan,Fred_Weasley,Dean_Thomas,Minerva_McGonagall,Lily_Evans_Potter,Original_Female_Character,Lavender_Brown,Reader,Marlene_McKinnon,Bartemius_Crouch_Jr.,Cho_Chang,Viktor_Krum,Original_Character,Andromeda_Black_Tonks,Salazar_Slytherin,Bill_Weasley,Daphne_Greengrass,Godric_Gryffindor,Parvati_Patil,Dorcas_Meadowes,Tony_Stark,Gilderoy_Lockhart
Scorpius_Malfoy,51,5,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,1,0,44,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James_Potter,12,3,281,26,109,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,193,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,4,0,0,0,0,604,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,0,9,3,0,0,0,0,8,0,0,0,0,0,0,0,0
Ginny_Weasley,39,1,0,0,0,138,2,0,0,0,0,0,1,0,0,0,323,0,0,79,1,0,0,9,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,21,0,1,0,0,0,3,0,1,0,0,0
Albus_Severus_Potter,3,24,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,232,190,1,4,13,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,14,0,0,0,0,28,0,0,4,0,1,0,3,5,4,5,0,0,0,0,3,0,0,0,23,0,0,0,3,0,0,0,0,0,0
Luna_Lovegood,7,0,0,0,0,95,0,0,0,0,0,0,9,323,0,0,0,0,0,17,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,25,0,2,1,0,0,2,0,0,0,0,0
Original_Percival_Graves,7,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newt_Scamander,7,0,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,246,0,0,0,2,0,0,0,0,0,0,25,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pansy_Parkinson,3,1,0,0,0,276,0,0,0,0,0,0,0,79,0,0,17,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,14,2,0,0,2,0,1,1,0,0,14,0,0,0,0,0
Oliver_Wood,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,228,1,0,1,0,11,0,2,131,9,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Regulus_Black,26,0,52,19,34,0,3,1,1,0,0,193,0,0,0,0,2,0,2,0,0,0,4,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0
Lucius_Malfoy,120,29,31,24,124,1,6,8,0,1,0,4,0,0,0,7,0,0,0,0,2,4,0,0,4,1,2,0,0,0,0,3,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
Fleur_Delacour,4,0,0,0,0,317,0,0,0,0,0,0,1,9,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Narcissa_Black_Malfoy,1,1,0,0,1,220,0,0,0,0,0,1,23,2,0,0,2,0,0,6,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,7,0,4,4,0,0,0,0,10,0,0,1,0,0,1,0,0
Neville_Longbottom,64,87,1,1,25,1,0,0,1,0,1,0,0,3,0,14,4,0,0,0,2,1,1,0,0,0,3,3,0,0,22,21,1,21,0,0,0,2,23,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Percy_Weasley,13,15,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,2,0,0,3,0,0,0,0,0,0,1,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
James_Sirius_Potter,7,11,0,0,1,0,0,0,0,0,44,0,0,0,27,0,0,0,0,0,1,0,0,0,0,3,0,0,0,165,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Credence_Barebone,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,179,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,23,7,1,1,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,1,1,0,0,0,0,0,165,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blaise_Zabini,85,29,0,0,2,0,0,0,0,0,4,0,0,1,0,28,0,0,0,2,0,0,0,0,0,22,0,0,0,2,0,3,0,24,0,0,0,2,3,2,11,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
Charlie_Weasley,65,65,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,21,0,0,0,3,3,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
Original_Male_Character,46,21,9,15,19,0,5,3,3,0,3,1,0,0,2,0,0,0,1,0,0,2,2,0,0,1,1,2,0,1,0,6,16,1,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Theodore_Nott,87,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,21,1,0,0,0,24,1,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marcus_Flint,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,12,0,0,0,0,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,116,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,4,0,10,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,23,126,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George_Weasley,59,8,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,2,0,0,2,0,0,0,0,2,1,2,1,1,4,0,0,3,73,0,0,0,0,0,3,0,0,0,5,2,0,0,0,0,0,0,0,1,0
Seamus_Finnigan,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,1,0,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred_Weasley,35,9,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,0,0,0,1,0,0,0,2,0,0,0,0,10,0,73,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0
Dean_Thomas,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,1,0,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Minerva_McGonagall,0,0,0,0,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lily_Evans_Potter,1,0,6,2,6,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Female_Character,4,0,0,0,1,18,1,0,0,0,0,0,16,6,0,0,5,0,0,8,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Lavender_Brown,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53,0,0,0
Reader,5,13,1,2,8,19,3,0,1,0,0,1,9,3,0,3,5,2,2,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Marlene_McKinnon,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,56,0,0
Bartemius_Crouch_Jr.,14,0,3,2,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cho_Chang,0,0,0,0,0,6,0,0,0,0,0,0,0,21,0,0,25,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Viktor_Krum,17,7,0,0,1,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,1,0,0,0,11,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,7,4,1,0,1,4,0,0,2,0,0,0,0,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0
Andromeda_Black_Tonks,0,0,0,0,0,51,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Salazar_Slytherin,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
Bill_Weasley,26,7,2,8,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphne_Greengrass,4,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Godric_Gryffindor,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
Parvati_Patil,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Dorcas_Meadowes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony_Stark,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilderoy_Lockhart,3,0,1,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
