,Hermione_Granger,Draco_Malfoy,Harry_Potter,Severus_Snape,Original_Female_Character,Reader,Ginny_Weasley,Lily_Evans_Potter,James_Potter,Ron_Weasley,Sirius_Black,Fred_Weasley,Remus_Lupin,Tom_Riddle,Pansy_Parkinson,Lucius_Malfoy,Luna_Lovegood,Neville_Longbottom,George_Weasley,Nymphadora_Tonks,Charlie_Weasley,Newt_Scamander,Narcissa_Black_Malfoy,Theodore_Nott,Voldemort,Tina_Goldstein,Original_Character,Scorpius_Malfoy,Rose_Weasley,Blaise_Zabini,Astoria_Greengrass,Bellatrix_Black_Lestrange,Daphne_Greengrass,Fleur_Delacour,Bill_Weasley,Regulus_Black,Percy_Weasley,Cedric_Diggory,Viktor_Krum,Minerva_McGonagall,Marlene_McKinnon,Teddy_Lupin,Original_Male_Character,Lily_Luna_Potter,Oliver_Wood,Andromeda_Black_Tonks,Arthur_Weasley,Molly_Weasley,Victoire_Weasley,Lavender_Brown,Loki_,James_Sirius_Potter,Tony_Stark,Theseus_Scamander,Cho_Chang,Katie_Bell,Marcus_Flint,Ted_Tonks,Fenrir_Greyback,Thorfinn_Rowle,Antonin_Dolohov,Angelina_Johnson,Albus_Dumbledore,Steve_Rogers,Kylo_Ren,Hannah_Abbott,Leta_Lestrange,Petunia_Evans_Dursley,Rey,Cormac_McLaggen,Millicent_Bulstrode
Pansy_Parkinson,2,53,102,2,0,0,0,0,0,47,11,3,3,5,0,6,0,193,9,0,15,0,0,12,2,0,0,0,0,11,0,0,0,0,0,1,37,1,1,0,0,0,3,0,3,0,0,0,0,0,13,4,8,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,5,0
Lucius_Malfoy,282,5,4,7,29,19,16,8,0,2,2,0,0,0,6,0,1,0,0,0,0,0,197,0,0,0,2,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luna_Lovegood,2,101,117,41,0,1,4,0,0,18,4,3,6,11,0,1,0,64,14,0,12,0,0,22,1,0,0,0,0,15,0,0,0,0,2,0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0
Neville_Longbottom,77,0,8,0,51,28,16,0,0,0,0,0,0,0,193,0,64,0,0,0,0,0,0,1,1,0,3,0,1,0,2,2,5,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3
George_Weasley,79,0,10,0,131,135,1,0,0,0,0,34,0,0,9,0,14,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0
Nymphadora_Tonks,0,1,29,30,0,0,0,0,0,1,1,0,280,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie_Weasley,168,0,1,0,51,28,1,1,0,0,0,0,0,0,15,0,12,0,0,12,0,0,3,0,0,0,2,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Newt_Scamander,2,0,2,0,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Narcissa_Black_Malfoy,0,3,17,52,0,0,0,0,7,0,22,0,11,0,0,197,0,0,0,0,3,0,0,6,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Theodore_Nott,144,3,3,0,15,4,20,0,0,0,0,0,0,0,12,0,22,1,0,0,0,0,6,0,0,0,2,0,0,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Voldemort,63,1,58,3,10,0,3,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Tina_Goldstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,2,42,22,14,0,1,0,0,3,0,11,6,3,8,0,2,0,3,11,0,2,4,1,2,2,0,17,2,0,4,1,0,1,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scorpius_Malfoy,8,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rose_Weasley,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,7,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blaise_Zabini,67,4,5,0,12,7,54,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Astoria_Greengrass,0,165,9,0,0,0,0,0,0,6,0,1,0,0,0,1,0,2,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,0,5,13,10,0,0,0,0,1,0,19,0,3,8,0,10,0,2,0,0,1,0,0,0,95,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Daphne_Greengrass,0,9,113,0,0,0,0,0,0,6,1,2,0,0,0,0,0,5,2,0,1,0,0,9,1,0,1,0,0,9,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0
Fleur_Delacour,0,1,92,2,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,65,0,0,3,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Weasley,47,0,1,0,19,19,2,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Regulus_Black,32,0,5,1,38,43,0,10,5,0,7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percy_Weasley,34,0,2,0,13,4,0,0,0,0,0,0,0,0,37,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cedric_Diggory,29,0,8,0,38,27,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
Viktor_Krum,119,0,3,1,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Minerva_McGonagall,1,1,3,37,0,1,0,0,0,2,7,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
Marlene_McKinnon,0,0,0,0,0,0,0,0,0,0,114,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,12,0,2,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character,11,0,4,0,36,1,0,4,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,1,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Lily_Luna_Potter,0,13,6,1,0,0,0,0,0,2,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,2,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Oliver_Wood,28,0,0,0,27,17,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andromeda_Black_Tonks,0,0,5,4,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,68,0,0,3,0,0,0,0,0,0,0,0,0,0
Arthur_Weasley,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly_Weasley,0,0,4,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoire_Weasley,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavender_Brown,0,6,5,1,0,0,0,0,1,23,2,1,3,0,0,0,0,1,0,0,4,0,0,5,0,0,0,0,0,6,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Loki_,43,0,2,0,0,1,3,0,0,0,0,0,0,0,13,0,5,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James_Sirius_Potter,0,0,0,0,39,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony_Stark,37,0,18,0,0,1,1,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Theseus_Scamander,1,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
Cho_Chang,0,4,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Katie_Bell,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_Flint,26,0,1,0,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Ted_Tonks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenrir_Greyback,43,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thorfinn_Rowle,63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Antonin_Dolohov,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angelina_Johnson,0,0,3,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Steve_Rogers,40,0,3,0,0,4,3,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylo_Ren,7,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
Hannah_Abbott,0,3,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leta_Lestrange,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Petunia_Evans_Dursley,0,0,1,21,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
Cormac_McLaggen,26,0,1,0,3,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Millicent_Bulstrode,0,4,5,2,0,0,0,0,0,6,0,0,1,0,0,1,0,3,0,0,6,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
