,Harry_Potter,Draco_Malfoy,Hermione_Granger,Severus_Snape,Sirius_Black,Remus_Lupin,Tom_Riddle,Original_Female_Character,Lucius_Malfoy,Ginny_Weasley,Voldemort,Ron_Weasley,Reader,Bellatrix_Black_Lestrange,Pansy_Parkinson,James_Potter,Narcissa_Black_Malfoy,Charlie_Weasley,Original_Percival_Graves,Neville_Longbottom,Fred_Weasley,Theodore_Nott,Lily_Evans_Potter,Albus_Dumbledore,Newt_Scamander,George_Weasley,Gellert_Grindelwald,Scorpius_Malfoy,Luna_Lovegood,Fleur_Delacour,Credence_Barebone,Blaise_Zabini,Albus_Severus_Potter,Teddy_Lupin,Nymphadora_Tonks,James_Sirius_Potter,Regulus_Black,Original_Male_Character,Bill_Weasley,Daphne_Greengrass,Oliver_Wood,Original_Character,Marcus_Flint,Viktor_Krum,Fenrir_Greyback,Theseus_Scamander,Other,Percy_Weasley
Voldemort,342,3,30,16,0,0,9,0,4,1,0,0,0,22,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ron_Weasley,101,76,156,5,0,2,1,2,7,10,0,0,9,0,12,0,0,0,0,0,2,1,0,0,0,2,0,0,3,1,0,10,0,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0
Reader,4,68,4,67,20,25,8,0,8,0,0,9,0,3,0,4,4,2,0,5,30,1,0,1,6,27,0,0,1,0,0,0,0,0,0,0,12,1,5,0,2,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,9,2,203,5,9,0,2,5,4,1,22,0,3,0,0,0,14,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0
Pansy_Parkinson,45,18,88,3,3,2,2,0,3,17,1,12,0,0,0,0,5,4,0,43,1,8,0,0,0,2,0,0,2,1,0,6,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,5
James_Potter,16,3,34,36,48,11,1,7,4,2,0,0,4,0,0,0,2,0,0,0,0,0,92,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,2,0,0,0,0,0,0
Narcissa_Black_Malfoy,17,2,51,25,5,2,0,0,73,1,1,0,4,14,5,2,0,3,0,0,0,5,1,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1
Charlie_Weasley,32,18,79,1,2,0,0,12,1,1,0,0,2,0,4,0,3,0,0,5,1,2,0,0,0,3,0,0,3,3,0,0,0,2,6,0,1,2,12,1,1,2,1,0,0,0,0,0
Original_Percival_Graves,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,10,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Neville_Longbottom,25,31,33,6,1,0,0,1,0,6,0,0,5,1,43,0,0,5,0,0,0,5,0,1,0,0,0,1,8,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2
Fred_Weasley,13,3,58,1,0,0,0,43,0,3,0,2,30,0,1,0,0,1,0,0,0,1,0,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,2,0
Theodore_Nott,32,55,81,1,0,0,0,6,2,3,0,1,1,0,8,0,5,2,0,5,1,0,0,0,0,1,0,0,5,0,0,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Lily_Evans_Potter,20,0,1,29,17,6,2,0,4,0,2,0,0,1,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
Albus_Dumbledore,15,0,0,6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
Newt_Scamander,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,63,0,0,0,0,9,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,0
George_Weasley,21,2,29,1,0,0,0,23,0,5,0,2,27,0,2,0,0,3,0,0,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,5,0,0,2,1
Gellert_Grindelwald,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,113,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Scorpius_Malfoy,22,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,70,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,25,12,18,2,0,0,1,0,2,37,0,3,1,3,2,0,2,3,0,8,0,5,0,0,0,1,0,0,0,0,0,3,0,1,2,1,0,3,1,0,0,1,0,1,1,0,0,0
Fleur_Delacour,32,1,58,1,4,1,0,0,0,4,0,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,1,0,0,0,1,0,0,0,0
Credence_Barebone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blaise_Zabini,26,29,16,2,0,0,0,2,1,19,0,10,0,0,6,0,2,0,0,1,1,9,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0
Albus_Severus_Potter,5,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,19,11,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,45,1,0,1,0,1,0,0,0,0,0,0,0
Nymphadora_Tonks,25,2,5,6,2,38,1,0,0,5,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
James_Sirius_Potter,8,4,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,14,45,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Regulus_Black,6,0,7,6,18,3,0,10,3,0,1,0,12,2,0,13,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character,16,6,4,5,0,3,0,11,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0
Bill_Weasley,7,6,27,2,0,1,0,5,1,2,0,1,5,0,0,0,3,12,0,0,1,0,0,0,0,1,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphne_Greengrass,41,4,6,0,0,0,0,2,0,2,0,1,0,0,4,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver_Wood,1,1,5,0,1,0,0,4,1,3,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,33,0,0,0,0,14
Original_Character,7,9,0,6,1,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
Marcus_Flint,9,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1
Viktor_Krum,5,2,32,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fenrir_Greyback,16,8,18,1,0,7,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,28,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,16,15,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Percy_Weasley,5,1,5,5,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0
