tag,freq
the burrow,6
multiple orgasms,6
parenthood,6
forced marriage,6
manipulation,6
tentacles,6
auror hermione granger,6
healer hermione granger,6
implied/referenced torture,6
sapphic september,6
cheating,6
humour,6
forgiveness,6
soul bond,6
female harry potter,6
best friends,6
comfort,6
character study,6
art,6
developing relationship,6
harry potter - freeform,6
swearing,6
blood and gore,6
mildly dubious consent,6
break up,6
ambiguous/open ending,6
auror harry potter,6
light dom/sub,6
language,6
anal fingering,6
hogwarts era,6
references to clue / cluedo,6
pov female character,5
children,5
harry potter dies,5
death eater draco malfoy,5
crack treated seriously,5
sirius black lives,5
remus lupin lives,5
severus snape has a heart,5
kidnapping,5
canon divergence - post-hogwarts,5
professor hermione granger,5
minor hermione granger/ron weasley,5
girl penis,5
love/hate,5
angst and feels,5
female friendship,5
battle of hogwarts,5
angst and romance,5
self-esteem issues,5
pureblood society,5
hogwarts fourth year,5
teasing,5
non-consensual drug use,5
anger,5
angst and fluff and smut,5
parody,5
implied/referenced cheating,5
blood,5
orgasm delay/denial,5
fanart,5
hurt,5
sex toys,5
loss,5
power dynamics,5
enemies to friends,5
possessive behavior,5
choking,5
discord: bellamione coven,5
suicide attempt,5
recovery,5
sexy times,5
incest,5
multiple pairing,5
shower sex,5
slice of life,5
mates,5
mating cycles/in heat,5
sexual humor,5
alternate universe - coffee shops and cafés,5
winter,5
possessive draco malfoy,5
polyjuice potion,5
auror draco malfoy,5
pov severus snape,5
romione,5
song lyrics,5
desk sex,5
alternate universe - historical,5
halloween costumes,5
auror partners,5
plot twists,5
pov third person,4
pov third person limited,4
married couple,4
bestiality,4
bittersweet ending,4
forced pregnancy,4
triggers,4
master/slave,4
triwizard tournament,4
nymphadora tonks lives,4
dumbledore bashing,4
therapy,4
truth or dare,4
canon divergence - post-harry potter and the deathly hallows,4
aftercare,4
loss of parent,4
hate to love,4
facebook: hermione's haven,4
room of requirement,4
wizarding wars,4
pureblood culture,4
office sex,4
alternative universe,4
slytherin hermione granger,4
sequel,4
miscarriage,4
hea,4
marriage of convenience,4
slow romance,4
disability,4
hermione granger is a good friend,4
accidental voyeurism,4
blaise zabini is a good friend,4
powerful hermione granger,4
dark!hermione,4
1940s,4
drinking,4
recreational drug use,4
revenge,4
amortentia,4
my first fanfic,4
bad bdsm etiquette,4
weasley family bashing,4
magical creatures,4
unhealthy coping mechanisms,4
legilimency,4
suicide,4
feminist themes,4
bellamione - freeform,4
bigotry and prejudice,4
awkward romance,4
post hogwarts au,4
quidditch player ginny weasley,4
older man/younger woman,4
ministry of magic employee draco malfoy,4
potions accident,4
unhealthy relationships,4
gryffindor,4
slytherin,4
lesbian,4
中文翻译 / translation in chinese,4
addiction,4
marriage proposal,4
psychological torture,4
babies,4
harmony - freeform,4
veela,4
consensual underage sex,4
twincest,4
yule ball,4
genderswap,4
fingering,4
mutual masturbation,4
teen romance,4
bellamione cult ilvermorny cup,4
early work,4
canonical character death,4
fremione - freeform,4
trauma,4
minor harry potter/ginny weasley,4
azkaban,4
mistletoe,4
smoking,4
werewolf mates,4
double penetration,4
omega hermione granger,4
adultery,4
sub hermione granger,4
ritual sex,4
rimming,4
attempted rape/non-con,4
how do i tag,4
sarcasm,4
pov alternating,4
jealous draco malfoy,4
rituals,4
fake dating,4
the mourning madam's once upon a time dramione fairy tale fest,4
wizarding politics,4
modern au,4
psychological trauma,4
blackmail,4
alcohol,4
punishment,4
fluff and crack,4
threesome - f/f/m,4
anal play,4
accidental marriage,4
matchmaking,4
betrayal,4
number twelve grimmauld place,4
occlumency,4
fairy tale retelling,4
alpha/omega,4
porn,4
creampie,4
bisexual hermione granger,4
nipple play,4
anal plug,4
snamione,4
mating bites,4
surprises,4
draco malfoy - freeform,4
ravenclaw hermione granger,4
pansmione - freeform,4
family feels,4
christmas eve,4
holidays,4
baby,4
sapphic september 2018,4
romantic friendship,4
hermione - freeform,4
redemption,3
self harm,3
second war with voldemort,3
sex magic,3
young severus snape,3
eating disorders,3
professor draco malfoy,3
potions master draco malfoy,3
adult draco malfoy,3
draco malfoy and harry potter friendship,3
alcohol abuse/alcoholism,3
lingerie,3
wizarding culture,3
enthusiastic consent,3
teen pregnancy,3
alternate universe - post-war,3
references to depression,3
emotional hurt,3
implied/referenced suicide,3
work in progress,3
curses,3
family secrets,3
mild smut,3
psychological horror,3
my first work in this fandom,3
room of requirement shenanigans,3
one night stands,3
gaslighting,3
lesbians,3
library sex,3
demons,3
forced orgasm,3
forced bonding,3
book 6,3
letters,3
parenting,3
good narcissa black malfoy,3
accidental pregnancy,3
happily ever after,3
alternate universe - dark,3
hermione granger and draco malfoy friendship,3
hogwarts library,3
unspeakable hermione granger,3
alternate universe - fantasy,3
pureblood politics,3
kid fic,3
eventual sex,3
caning,3
evil ron weasley,3
drapple,3
competition,3
fairy tale elements,3
digital art,3
dark harry potter,3
action and romance,3
passion,3
muggle au,3
aftermath of torture,3
denial of feeling,3
self-harm,3
grey hermione,3
professor harry potter,3
cross-generation relationship,3
consensual infidelity,3
blood kink,3
blindfolds,3
unresolved romantic tension,3
hogwarts hospital wing,3
tumblr prompts,3
fluffy,3
injury recovery,3
past astoria greengrass/draco malfoy,3
platonic soulmates,3
pain,3
fate,3
power imbalance,3
implied/referenced self-harm,3
post-divorce,3
hogwarts professors,3
casual sex,3
drabbles,3
magical bond,3
may/december relationship,3
extremely dubious consent,3
eventual relationships,3
stalking,3
pregnant sex,3
adulthood,3
adults,3
groping,3
lactation kink,3
breeding,3
mind manipulation,3
snogging,3
forbidden love,3
magical tattoos,3
strong female characters,3
drabble collection,3
unhappy ending,3
multiple partners,3
gratuitous smut,3
feels,3
please don't hate me,3
crossovers and fandom fusions,3
non-consensual voyeurism,3
kink negotiation,3
sapphic september 2019,3
teenagers,3
strip tease,3
mpreg,3
memory charms,3
awkwardness,3
post-harry potter and the deathly hallows,3
self-discovery,3
love triangles,3
reunions,3
gift fic,3
angst and humor,3
morning after,3
engagement,3
knotting,3
mating rituals,3
cuckolding,3
ron weasley is a good friend,3
face-sitting,3
hand jobs,3
my first smut,3
explicit consent,3
harry potter is a good friend,3
squirting,3
dreams,3
christmas presents,3
gift giving,3
books,3
snowed in,3
childbirth,3
dimension travel,3
sorry not sorry,3
i don't even know,3
no smut,3
loneliness,3
memories,3
fluff and hurt/comfort,3
lust potion/spell,3
poetry,3
secret admirer,3
friends - freeform,3
bonfires,3
samhain,3
consensual sex,3
muggle/wizard relations,3
guilt,3
missing scene,3
one-shot,3
post hogwarts,3
mental anguish,3
minor violence,3
scars,3
birthday party,3
sibling incest,3
stockholm syndrome,3
aurors,3
horcruxes,3
late night conversations,3
prank wars,3
bittersweet,3
sad,3
twins,3
het and slash,3
wedding fluff,3
young tom riddle,3
fear of flying,3
fix-it,3
canon divergence,3
daddy kink,3
roleplay,3
first dates,3
tragic romance,3
lemons,3
romantic soulmates,3
seduction,3
doggy style,3
politics,3
orgy,3
why did i write this,3
short one shot,3
clone sex,3
portkeys,3
summer vacation,3
the author regrets nothing,3
but not really,3
references to drugs,3
funny,3
spies and secret agents,3
slash,3
spells and enchantments,3
wordcount: 100,3
dark draco malfoy,3
femslash february,3
femslash february 2019,3
rough oral sex,3
community: dramionedrabble,3
hogwarts express,3
party,3
d/hr advent 2018,3
rough kissing,3
weasley family,3
shell cottage,3
blood drinking,3
draco - freeform,3
size kink,3
comfort/angst,3
short oneshot,3
sexual violence,3
use of the name scorpius,3
