,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Percival_Graves,Original_Female_Character,Ron_Weasley,Albus_Dumbledore,Gellert_Grindelwald,Voldemort,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Pansy_Parkinson,Lucius_Malfoy,Credence_Barebone,Reader,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Original_Character,Minerva_McGonagall,Original_Male_Character,Fleur_Delacour,Marcus_Flint,Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Dean_Thomas,Rose_Weasley,Seamus_Finnigan,Tony_Stark,Arthur_Weasley,Queenie_Goldstein,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Petunia_Evans_Dursley,Molly_Weasley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,Loki_(Marvel),James_Barnes,Parvati_Patil,Marlene_McKinnon,Victoire_Weasley,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Kingsley_Shacklebolt,Fenrir_Greyback,Salazar_Slytherin,Other,Ted_Tonks,Angelina_Johnson,Harry,Dudley_Dursley,Hannah_Abbott,Bartemius_Crouch_Jr.,Millicent_Bulstrode,Vernon_Dursley,Lily_Evans,John_Watson,Cormac_McLaggen,Katie_Bell,Abraxas_Malfoy,Rubeus_Hagrid,Nagini,Dean_Winchester,Crowley_(Good_Omens),Gellert_Grindelwald_pretending_Percival_Graves,Padma_Patil,Aziraphale,Alice_Longbottom,Percy_Jackson
Lily_Evans_Potter,22,0,3,37,252,20,0,1413,0,4,1,0,1,0,0,0,3,0,2,0,0,8,0,0,0,0,3,0,36,0,11,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,26,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Original_Percival_Graves,8,0,0,0,0,0,586,0,0,0,0,0,24,0,4,68,0,0,0,0,0,0,490,16,34,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Original_Female_Character,78,141,15,128,199,63,17,25,4,79,1,24,11,9,0,0,8,3,4,22,1,14,4,1,0,1,3,10,6,40,20,56,9,4,5,31,6,2,30,12,0,5,39,0,1,0,18,13,0,3,5,7,1,0,0,4,0,0,5,0,0,0,1,1,0,3,3,2,0,2,0,0,1,0,3,1,0,0,0,2,9,0,3,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0
Ron_Weasley,248,167,637,1,17,1,1,0,19,3,0,0,9,0,0,0,0,0,10,0,37,8,0,7,0,0,0,5,0,1,0,0,0,1,37,1,1,2,1,3,0,0,1,1,0,5,1,0,4,1,2,1,0,2,0,16,23,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,52,0,1,0,38,2,62,0,0,10,0,4,0,0,2,993,5,0,0,0,1,0,2,1,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,40,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,1
Gellert_Grindelwald,5,1,3,0,7,0,68,0,0,3,0,68,0,0,993,2,3,0,0,0,0,0,35,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voldemort,843,6,64,0,29,0,0,3,1,5,3,0,8,0,5,3,0,0,1,0,0,6,0,1,0,0,135,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,1,1,8,0,0,0,0,0,0,0
Scorpius_Malfoy,17,15,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,786,2,3,0,0,0,0,0,2,1,0,0,0,0,0,1,68,7,0,0,1,3,0,0,0,0,2,0,0,1,0,145,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,179,101,92,3,12,3,1,0,300,10,2,0,4,10,0,0,1,2,0,0,31,0,0,7,0,0,2,74,2,7,0,1,0,1,14,0,0,31,7,3,1,0,3,0,1,0,1,0,0,6,0,1,1,0,0,1,1,0,0,0,0,0,1,0,15,0,6,5,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
Albus_Severus_Potter,11,26,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,1,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pansy_Parkinson,98,60,212,2,1,0,0,0,87,3,0,0,1,37,1,0,0,2,31,0,1,1,1,0,0,0,2,31,8,18,1,3,1,1,13,0,0,13,5,13,1,0,0,0,2,2,0,2,26,1,1,1,12,0,0,0,6,0,2,0,0,0,1,0,2,0,7,1,4,0,0,0,0,0,1,0,0,0,1,0,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0
Lucius_Malfoy,72,26,152,27,100,13,0,10,9,4,8,0,14,8,0,0,6,3,0,0,1,0,0,6,0,0,11,1,232,2,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Credence_Barebone,1,0,0,0,0,0,97,0,0,1,0,490,4,0,2,35,0,0,0,0,1,0,0,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,31,0,0,0,0
Reader,20,115,4,100,74,66,61,11,2,15,0,16,1,7,1,2,1,0,7,1,0,6,18,0,1,10,0,13,0,25,2,24,8,5,0,0,0,2,28,4,0,0,1,0,0,0,12,3,0,0,0,1,2,0,9,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tina_Goldstein,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,1,0,0,0,0,0,467,0,0,0,0,86,1,0,10,6,0,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,8,4,327,15,4,3,0,2,0,7,3,0,3,0,0,0,135,0,2,0,2,11,0,0,0,0,0,2,24,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,3,3,0,0,0,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Neville_Longbottom,83,85,49,0,13,7,0,0,21,0,0,0,10,5,1,0,0,2,74,0,31,1,0,13,0,0,2,0,0,22,1,0,0,0,36,1,0,17,1,2,3,2,2,1,1,0,0,0,3,1,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,1,39,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
Narcissa_Black_Malfoy,13,20,92,11,21,9,0,3,1,1,36,0,6,0,0,0,0,1,2,0,8,232,0,0,0,0,24,0,0,2,6,1,0,0,0,0,0,3,1,0,0,1,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,18,2,1,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Charlie_Weasley,71,53,92,4,3,0,1,0,1,0,0,0,40,1,0,0,0,0,7,0,18,2,0,25,0,0,2,22,2,0,1,0,7,22,1,3,3,2,2,1,5,0,9,0,0,1,10,1,0,0,1,1,2,0,0,4,1,0,0,0,0,2,0,0,2,0,1,1,0,0,1,24,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Regulus_Black,21,2,23,127,30,17,0,46,0,2,11,0,20,0,1,0,3,0,0,0,1,1,0,2,0,0,1,1,6,1,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred_Weasley,15,2,205,0,0,0,0,0,1,0,0,0,56,0,0,0,0,0,1,0,3,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,75,1,5,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver_Wood,13,0,18,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,149,2,1,1,0,167,0,0,9,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
Nymphadora_Tonks,22,2,11,3,7,228,0,0,8,0,0,0,4,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,1,0,1,1,1,0,1,39,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaise_Zabini,94,31,35,0,0,0,0,0,35,0,0,0,5,37,0,0,0,1,14,0,13,0,0,0,0,0,0,36,0,1,0,0,0,0,1,0,0,25,2,0,0,0,0,1,0,0,0,1,1,9,1,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,2,0,0,0
James_Sirius_Potter,2,19,0,1,0,2,0,0,0,0,0,0,31,1,0,0,0,68,0,24,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,171,0,0,0,7,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,41,3,6,3,1,3,0,0,0,0,0,0,6,1,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,171,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore_Nott,55,30,95,0,0,0,0,0,7,0,0,0,2,2,0,0,0,0,31,0,13,0,0,2,0,0,0,17,3,2,0,1,1,0,25,0,0,0,1,0,0,0,1,2,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
George_Weasley,39,4,42,0,0,0,0,0,2,0,0,0,30,1,0,0,0,0,7,0,5,0,0,28,0,0,0,1,1,2,0,75,2,1,2,0,1,1,0,1,5,0,1,0,1,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Percy_Weasley,10,6,20,1,1,0,0,0,5,1,0,0,12,3,0,0,2,1,3,0,13,3,0,4,0,0,0,2,0,1,0,1,149,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,34,13,6,26,23,3,4,4,1,7,0,0,0,0,3,1,3,3,1,1,1,1,1,0,0,0,2,3,0,5,6,5,2,1,0,7,2,0,5,0,32,0,0,0,0,0,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Minerva_McGonagall,15,1,41,12,57,6,0,1,0,6,1,0,5,0,40,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Original_Male_Character,61,21,10,4,10,5,3,1,1,7,4,3,39,1,2,3,2,0,3,3,0,0,0,1,0,3,1,2,0,9,2,1,1,1,0,1,0,1,1,0,0,1,11,1,0,0,0,2,2,0,1,0,0,0,0,2,2,0,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fleur_Delacour,36,2,79,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,39,1,0,0,2,0,0,0,0,1,0,0,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_Flint,14,8,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,167,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
Astoria_Greengrass,6,162,4,0,0,0,0,0,6,0,0,0,0,5,0,0,0,2,0,1,2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bill_Weasley,16,1,35,0,5,4,0,0,2,0,0,0,18,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,10,2,1,0,6,0,0,1,0,1,1,0,0,0,75,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,102,5,25,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,9,0,1,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Daphne_Greengrass,82,4,13,0,1,0,0,0,1,1,0,0,0,4,0,0,0,1,0,1,26,1,0,0,0,0,1,3,0,0,0,3,2,0,1,1,0,13,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean_Thomas,5,2,2,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose_Weasley,5,4,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,145,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,10,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus_Finnigan,3,3,6,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,0,1,0,0,0,5,1,1,0,0,1,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,148,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony_Stark,43,0,30,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,12,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur_Weasley,8,2,7,0,21,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queenie_Goldstein,0,0,0,0,0,0,7,0,1,0,0,20,0,0,1,8,0,0,0,0,0,0,4,9,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viktor_Krum,13,10,80,0,0,0,0,0,2,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,1,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavender_Brown,6,2,11,1,0,0,0,0,4,1,0,0,0,23,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
