,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Female_Character,Original_Percival_Graves,Ron_Weasley,Albus_Dumbledore,Gellert_Grindelwald,Voldemort,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Reader,Lucius_Malfoy,Pansy_Parkinson,Credence_Barebone,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Original_Character,Original_Male_Character,Minerva_McGonagall,Fleur_Delacour,Marcus_Flint,Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Rose_Weasley,Dean_Thomas,Seamus_Finnigan,Tony_Stark,Queenie_Goldstein,Arthur_Weasley,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Molly_Weasley,Petunia_Evans_Dursley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,James_Bucky_Barnes,Loki_,Victoire_Weasley,Marlene_McKinnon,Parvati_Patil,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Fenrir_Greyback,Salazar_Slytherin,Kingsley_Shacklebolt,Other,Ted_Tonks,Angelina_Johnson,Dudley_Dursley,Bartemius_Crouch_Jr.,Hannah_Abbott,Millicent_Bulstrode,Vernon_Dursley,Cormac_McLaggen,Katie_Bell,Lily_Evans,Abraxas_Malfoy,John_Watson,Dean_Winchester,Rubeus_Hagrid,Percival_Graves_|_Gellert_Grindelwald,Nagini,Alice_Longbottom,Padma_Patil,Crowley_
Lily_Evans_Potter,20,0,2,33,232,20,0,1330,0,3,1,1,0,0,0,0,3,0,2,0,0,8,0,0,0,0,3,0,36,0,11,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,25,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Original_Female_Character,79,136,15,126,193,62,16,23,4,78,1,11,23,9,0,0,8,3,4,21,1,14,1,3,0,1,3,10,6,35,20,55,9,4,5,30,6,2,30,12,0,35,5,0,1,0,18,12,0,5,3,7,1,0,0,4,0,0,5,0,0,0,1,1,0,3,2,3,0,1,0,0,1,3,1,0,0,0,0,9,3,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0
Original_Percival_Graves,8,0,0,0,0,0,556,0,0,0,0,23,0,0,4,65,0,0,0,0,15,0,0,456,33,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Ron_Weasley,240,161,602,1,17,1,1,0,19,3,0,9,0,0,0,0,0,0,10,0,1,8,33,0,0,0,0,5,0,1,0,0,0,1,36,1,1,2,1,3,0,1,0,1,0,5,1,0,4,1,1,1,0,0,2,15,23,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0
Albus_Dumbledore,51,0,1,0,37,1,59,0,0,8,0,0,4,0,2,946,5,0,0,0,1,0,1,1,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Gellert_Grindelwald,5,1,3,0,7,0,64,0,0,3,0,0,65,0,946,2,3,0,0,0,2,0,0,33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voldemort,782,5,64,0,26,0,0,3,1,5,3,8,0,0,5,3,0,0,1,0,1,6,0,0,0,0,130,0,0,0,3,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0
Scorpius_Malfoy,16,15,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,725,0,3,2,0,0,0,0,2,1,0,0,0,0,0,1,67,7,0,0,1,3,0,0,0,0,2,0,0,1,141,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,167,98,89,3,12,3,1,0,265,10,2,4,0,10,0,0,1,2,0,0,7,0,30,0,0,0,2,69,2,7,0,1,0,1,14,0,0,30,7,3,1,3,0,0,1,0,1,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1,0,15,0,5,6,0,0,0,0,1,2,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
Albus_Severus_Potter,10,25,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,725,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,1,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reader,21,115,4,5,3,2,58,11,2,15,0,1,15,1,1,2,1,0,7,1,0,7,0,20,1,10,0,14,0,26,2,24,8,5,0,0,0,2,29,5,0,1,0,0,0,0,13,3,0,0,0,1,2,9,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lucius_Malfoy,71,25,147,25,97,13,0,9,9,4,8,14,0,8,0,0,6,3,0,0,7,0,1,0,0,0,11,1,216,2,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pansy_Parkinson,93,53,199,2,1,0,0,0,84,3,0,1,0,33,1,0,0,2,30,0,0,1,1,1,0,0,2,31,8,18,1,3,1,1,13,0,0,11,5,13,1,0,0,0,2,2,0,2,23,1,1,1,12,0,0,0,6,0,2,0,0,0,0,0,1,0,1,7,0,0,4,0,0,1,0,0,0,0,1,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,5,0
Credence_Barebone,1,0,0,0,0,0,93,0,0,1,0,3,456,0,1,33,0,0,0,0,20,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0
Tina_Goldstein,0,0,0,0,0,0,576,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,1,0,0,0,0,0,454,0,0,0,0,1,80,0,10,6,0,0,0,0,10,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellatrix_Black_Lestrange,8,4,314,14,4,3,0,2,0,6,3,3,0,0,0,0,130,0,2,0,0,11,2,0,0,0,0,2,24,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,2,0,0,0,51,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neville_Longbottom,79,80,48,0,12,7,0,0,20,0,0,10,0,5,1,0,0,2,69,0,14,1,31,0,0,0,2,0,0,21,1,0,0,0,34,1,0,15,1,2,3,2,2,1,1,0,0,0,3,1,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,2,37,0,0,1,0,0,0,0,0,0,0,1,2,0,0
Narcissa_Black_Malfoy,12,18,87,11,21,9,0,3,1,1,36,6,0,0,0,0,0,1,2,0,0,216,8,0,0,0,24,0,0,2,6,1,0,0,0,0,0,3,1,0,0,0,1,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,18,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Charlie_Weasley,66,51,90,4,3,0,1,0,1,0,0,35,0,1,0,0,0,0,7,0,26,2,18,0,0,0,2,21,2,0,1,0,7,21,1,3,3,2,2,1,5,9,0,0,0,1,9,1,0,1,0,1,2,0,0,4,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,22,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Regulus_Black,21,2,21,119,29,17,0,43,0,2,11,20,0,0,1,0,3,0,0,0,2,1,1,0,0,0,1,1,6,1,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred_Weasley,15,1,191,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,1,0,24,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,70,1,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver_Wood,13,0,18,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,141,2,1,1,0,158,0,0,8,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
Nymphadora_Tonks,22,2,11,3,7,218,0,0,7,0,0,4,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,1,1,1,1,0,38,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaise_Zabini,90,29,35,0,0,0,0,0,33,0,0,5,0,36,0,0,0,1,14,0,0,0,13,0,0,0,0,34,0,1,0,0,0,0,1,0,0,25,2,0,0,0,0,1,0,0,0,1,1,0,9,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,2,0
James_Sirius_Potter,2,18,0,1,0,2,0,0,0,0,0,30,0,1,0,0,0,67,0,21,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,163,0,0,0,7,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,39,3,4,3,1,3,0,0,0,0,0,6,0,1,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,163,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore_Nott,54,29,92,0,0,0,0,0,7,0,0,2,0,2,0,0,0,0,30,0,2,0,11,0,0,0,0,15,3,2,0,1,1,0,25,0,0,0,1,0,0,1,0,2,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,2,0
George_Weasley,37,4,41,0,0,0,0,0,2,0,0,30,0,1,0,0,0,0,7,0,29,0,5,0,0,0,0,1,1,2,0,70,2,1,2,0,1,1,0,1,5,1,0,0,1,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0
Percy_Weasley,10,6,20,0,1,0,0,0,5,1,0,12,0,3,0,0,2,1,3,0,5,3,13,0,0,0,0,2,0,1,0,1,141,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,36,13,6,25,23,3,4,3,1,6,0,0,0,0,3,1,3,3,1,1,0,1,1,1,0,0,2,3,0,5,6,5,2,1,0,7,1,0,5,0,30,0,0,0,0,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Original_Male_Character,60,19,10,4,9,5,1,1,1,7,4,35,3,1,2,3,2,0,3,3,1,0,0,0,0,3,1,2,0,9,2,1,1,1,0,1,0,1,1,0,0,11,1,1,0,0,0,2,2,1,0,0,0,0,0,2,2,0,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Minerva_McGonagall,12,0,39,12,53,6,0,1,0,6,1,5,0,0,40,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
Fleur_Delacour,34,2,76,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,38,1,0,0,2,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_Flint,14,7,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,158,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
Astoria_Greengrass,6,157,4,0,0,0,0,0,6,0,0,0,0,5,0,0,0,2,0,1,0,0,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bill_Weasley,14,1,34,0,5,3,0,0,2,0,0,18,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,9,2,1,0,6,0,0,1,0,1,1,0,0,0,69,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,95,5,23,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Daphne_Greengrass,77,4,13,0,1,0,0,0,1,1,0,0,0,4,0,0,0,1,0,1,0,1,23,0,0,0,1,3,0,0,0,3,2,0,1,1,0,12,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose_Weasley,5,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,141,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,10,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean_Thomas,5,2,2,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus_Finnigan,3,3,6,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,1,1,0,0,1,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,138,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony_Stark,39,0,28,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,2,0,12,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queenie_Goldstein,0,0,0,0,0,0,6,0,1,0,0,0,20,0,1,8,0,0,0,0,9,0,0,4,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur_Weasley,7,2,7,0,17,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viktor_Krum,12,10,77,0,0,0,0,0,2,0,0,4,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,1,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavender_Brown,5,2,10,1,0,0,0,0,4,1,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,57,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Leta_Lestrange,0,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lily_Luna_Potter,12,4,0,0,3,7,0,0,2,0,1,5,0,1,0,0,0,33,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,8,14,0,0,0,0,5,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
