,Hermione_Granger,Draco_Malfoy,Harry_Potter,Severus_Snape,Lily_Evans_Potter,Ginny_Weasley,James_Potter,Original_Female_Character,Newt_Scamander,Reader,Tom_Riddle,Ron_Weasley,Sirius_Black,Tina_Goldstein,Remus_Lupin,Luna_Lovegood,Lucius_Malfoy,Pansy_Parkinson,Fred_Weasley,Voldemort,Nymphadora_Tonks,Charlie_Weasley,Neville_Longbottom,Narcissa_Black_Malfoy,Bellatrix_Black_Lestrange,Theodore_Nott,George_Weasley,Scorpius_Malfoy,Astoria_Greengrass,Rose_Weasley,Bill_Weasley,Original_Character,Blaise_Zabini,Daphne_Greengrass,Minerva_McGonagall,Lily_Luna_Potter,Percy_Weasley,Fleur_Delacour,Viktor_Krum,Teddy_Lupin,Theseus_Scamander,Original_Percival_Graves,Leta_Lestrange,Queenie_Goldstein,Regulus_Black,Victoire_Weasley,Molly_Weasley,Arthur_Weasley,Tony_Stark,Cedric_Diggory,Andromeda_Black_Tonks,Original_Male_Character
Tina_Goldstein,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,2,0,0,0,0,0,0,0,0
Remus_Lupin,67,0,2,1,8,2,0,48,0,1,0,0,7,0,0,3,0,0,0,0,161,0,0,9,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna_Lovegood,0,68,83,7,0,1,0,0,0,1,8,7,2,0,3,0,0,0,1,1,0,5,42,0,0,24,6,1,0,0,1,0,10,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
Lucius_Malfoy,117,0,0,0,7,8,0,12,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,110,8,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
Pansy_Parkinson,1,39,76,1,0,0,0,0,0,0,3,28,2,0,0,0,1,0,3,0,0,14,27,0,0,8,5,1,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0
Fred_Weasley,168,0,3,0,0,0,0,41,0,18,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voldemort,51,0,28,1,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nymphadora_Tonks,0,2,13,7,0,0,0,0,0,0,0,1,1,0,161,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Charlie_Weasley,79,0,0,0,0,0,0,26,0,19,0,0,0,0,0,5,0,14,0,0,11,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neville_Longbottom,42,0,2,0,0,15,0,9,0,9,0,0,0,0,0,42,0,27,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Narcissa_Black_Malfoy,0,5,6,18,0,0,3,0,0,0,1,0,10,0,9,0,110,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
Bellatrix_Black_Lestrange,0,2,4,3,0,0,2,0,0,0,5,0,8,0,2,0,8,0,0,106,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Theodore_Nott,81,0,1,0,0,7,0,2,0,2,0,0,0,0,0,24,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George_Weasley,37,0,5,0,0,0,0,19,0,24,0,0,0,0,0,6,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpius_Malfoy,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,95,0,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria_Greengrass,0,112,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rose_Weasley,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,95,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bill_Weasley,29,0,2,0,0,1,0,14,0,10,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,2,8,9,10,0,0,3,0,4,0,1,0,14,0,0,0,1,0,4,0,0,1,1,0,0,0,4,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Blaise_Zabini,30,0,3,0,0,30,0,5,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daphne_Greengrass,1,3,54,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,3,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minerva_McGonagall,0,0,0,23,0,0,0,0,0,0,5,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lily_Luna_Potter,0,4,8,2,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4
Percy_Weasley,19,0,1,0,0,2,0,10,0,5,0,1,0,0,0,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fleur_Delacour,0,1,15,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Viktor_Krum,68,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
Theseus_Scamander,0,0,0,0,0,0,0,1,11,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0
Original_Percival_Graves,0,0,0,0,0,0,0,18,1,14,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Leta_Lestrange,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
Queenie_Goldstein,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
Regulus_Black,18,0,1,1,7,0,2,14,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoire_Weasley,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Molly_Weasley,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,0,0,0,0
Arthur_Weasley,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
Tony_Stark,24,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,21,0,4,0,0,0,0,10,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andromeda_Black_Tonks,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character,6,0,3,0,1,0,0,12,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
