,Harry_Potter,Draco_Malfoy,Hermione_Granger,Sirius_Black,Severus_Snape,Remus_Lupin,Newt_Scamander,James_Potter,Ginny_Weasley,Tom_Riddle,Lily_Evans_Potter,Original_Percival_Graves,Ron_Weasley,Albus_Dumbledore,Original_Female_Character(s),Gellert_Grindelwald,Scorpius_Malfoy,Luna_Lovegood,Albus_Severus_Potter,Lucius_Malfoy,Reader,Pansy_Parkinson,Credence_Barebone,Tina_Goldstein,Theseus_Scamander,Bellatrix_Black_Lestrange,Neville_Longbottom,Tom_Riddle_|_Voldemort,Voldemort,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Fred_Weasley,Oliver_Wood,Nymphadora_Tonks,Blaise_Zabini,James_Sirius_Potter,Teddy_Lupin,Theodore_Nott,George_Weasley,Percy_Weasley,Minerva_McGonagall,Fleur_Delacour,Marcus_Flint,Original_Male_Character(s),Astoria_Greengrass,Bill_Weasley,Cedric_Diggory,Daphne_Greengrass,Rose_Weasley,Dean_Thomas,Seamus_Finnigan,Tony_Stark,Queenie_Goldstein,Original_Character(s),Arthur_Weasley,Viktor_Krum,Lavender_Brown,Leta_Lestrange,Lily_Luna_Potter,Andromeda_Black_Tonks,Molly_Weasley,OC,Petunia_Evans_Dursley,Steve_Rogers,Jacob_Kowalski,Cho_Chang,Rodolphus_Lestrange,James_&quot;Bucky&quot;_Barnes,Loki_(Marvel),Victoire_Weasley,Marlene_McKinnon,Original_Female_Character,Parvati_Patil,Player_Character_(Hogwarts_Mystery),Sherlock_Holmes,Fenrir_Greyback,Salazar_Slytherin,Kingsley_Shacklebolt,Other(s),Ted_Tonks,Angelina_Johnson,Dudley_Dursley,Bartemius_Crouch_Jr.,Hannah_Abbott,Millicent_Bulstrode,Harry,Vernon_Dursley,Cormac_McLaggen,Katie_Bell,Lily_Evans,Original_Male_Character,Abraxas_Malfoy,John_Watson,Dean_Winchester,Rubeus_Hagrid,Percival_Graves_|_Gellert_Grindelwald,Nagini,Alice_Longbottom,Padma_Patil,Crowley_(Good_Omens)
Nymphadora_Tonks,22,2,11,3,7,218,0,0,7,0,0,0,1,0,4,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,1,1,0,38,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaise_Zabini,90,29,35,0,0,0,0,0,33,0,0,0,36,0,5,0,1,14,0,0,0,13,0,0,0,0,34,0,0,0,1,0,0,0,0,1,0,0,25,2,0,0,1,0,0,0,0,1,1,0,9,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0
James_Sirius_Potter,2,18,0,1,0,2,0,0,0,0,0,0,1,0,29,0,67,0,21,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,163,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,5,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,39,3,4,3,1,3,0,0,0,0,0,0,1,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,163,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,3,0,0,1,0,0,0,0,0,0,74,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore_Nott,54,29,92,0,0,0,0,0,7,0,0,0,2,0,2,0,0,30,0,0,2,11,0,0,0,0,15,0,0,3,2,0,1,1,0,25,0,0,0,1,0,0,2,6,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
George_Weasley,37,4,41,0,0,0,0,0,2,0,0,0,1,0,30,0,0,7,0,0,28,5,0,0,0,0,1,0,0,1,2,0,70,2,1,2,0,1,1,0,1,0,0,1,1,0,1,3,0,0,0,5,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Percy_Weasley,10,6,20,0,1,0,0,0,5,1,0,0,3,0,12,0,1,3,0,3,4,13,0,0,0,0,2,2,0,0,1,0,1,141,1,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minerva_McGonagall,12,0,39,12,53,6,0,1,0,6,1,0,0,40,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
Fleur_Delacour,34,2,76,1,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,38,1,0,0,2,0,0,0,0,0,1,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_Flint,14,7,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,158,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Original_Male_Character(s),56,19,10,4,9,4,1,1,1,7,4,3,1,2,9,2,0,2,3,0,0,0,0,0,3,1,2,1,1,0,9,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,0,5,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Astoria_Greengrass,6,157,4,0,0,0,0,0,6,0,0,0,5,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Weasley,14,1,34,0,5,3,0,0,2,0,0,0,1,0,18,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,9,2,1,0,6,0,0,1,0,1,1,0,69,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,95,5,23,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,8,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Daphne_Greengrass,77,4,13,0,1,0,0,0,1,1,0,0,4,0,0,0,1,0,1,1,0,23,0,0,0,1,3,0,0,0,0,0,3,2,0,1,1,0,12,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose_Weasley,5,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,141,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean_Thomas,5,2,2,0,0,0,0,0,4,0,0,0,1,0,3,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus_Finnigan,3,3,6,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,1,1,0,0,0,0,5,0,0,1,1,0,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,138,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony_Stark,39,0,28,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,2,12,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queenie_Goldstein,0,0,0,0,0,0,6,0,1,0,0,20,0,1,0,8,0,0,0,0,9,0,4,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character(s),21,5,3,20,19,3,3,2,1,5,0,0,0,1,0,0,3,1,1,1,0,1,1,0,0,0,2,1,0,0,2,6,3,2,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur_Weasley,7,2,7,0,17,0,0,0,5,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
