,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Newt_Scamander,Original_Percival_Graves,Albus_Dumbledore,Gellert_Grindelwald,Hermione_Granger,Tom_Riddle,Scorpius_Malfoy,Albus_Severus_Potter,Voldemort,Credence_Barebone,Theseus_Scamander,Ginny_Weasley,Ron_Weasley,Luna_Lovegood,James_Potter,Bellatrix_Black_Lestrange,Pansy_Parkinson,Oliver_Wood,James_Sirius_Potter,Neville_Longbottom,Lucius_Malfoy,Teddy_Lupin,Blaise_Zabini,Marcus_Flint,Narcissa_Black_Malfoy,Charlie_Weasley,Regulus_Black,Percy_Weasley,Seamus_Finnigan,Dean_Thomas,Fleur_Delacour,Original_Male_Character,Theodore_Nott,Cedric_Diggory,Minerva_McGonagall,Lily_Evans_Potter,Nymphadora_Tonks,George_Weasley,Lavender_Brown,Cho_Chang,Original_Character
Tom_Riddle,715,9,2,0,14,0,0,6,2,1,1,0,0,1,1,0,3,2,0,2,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0
Scorpius_Malfoy,13,3,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,64,2,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Albus_Severus_Potter,5,25,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Voldemort,515,5,0,0,12,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Credence_Barebone,1,0,0,0,0,74,386,1,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theseus_Scamander,0,0,0,0,0,357,67,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ginny_Weasley,20,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,216,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,7,0,4,13,0
Ron_Weasley,152,142,1,1,14,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Luna_Lovegood,2,3,0,0,0,0,0,0,0,67,0,0,0,0,0,0,216,0,0,0,2,25,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,1
James_Potter,12,2,189,14,63,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32,0,0,0,0,1,0,0,0,10,0,0,0,0,0
Bellatrix_Black_Lestrange,1,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Pansy_Parkinson,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,78,1,25,0,2,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Oliver_Wood,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,5,0,103,1,1,0,1,1,8,0,0,0,2,0,0,0
James_Sirius_Potter,0,16,1,2,0,0,0,0,0,0,0,64,17,0,0,0,0,1,0,0,0,0,0,0,1,0,143,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Neville_Longbottom,42,66,0,7,8,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,31,1,0,20,1,1,5,1,0,2,13,0,0,0,0,1,0,0,0
Lucius_Malfoy,58,12,22,10,69,0,0,0,0,0,2,0,0,5,0,0,0,4,0,7,1,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy_Lupin,10,3,1,0,1,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,143,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Blaise_Zabini,57,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,2,0,0,31,0,0,0,0,0,1,0,0,1,8,0,0,20,1,0,0,0,1,0,0,0
Marcus_Flint,11,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129,0,1,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,1,0,0,0
Narcissa_Black_Malfoy,0,2,0,0,0,0,0,0,0,76,0,0,0,0,0,0,1,0,1,0,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31,0,0,0,0,0
Charlie_Weasley,45,43,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,2,3,1,0,0,0,0,0,1,0,0,6,1,0,0,0,0,2,0,0,0
Regulus_Black,8,0,27,15,19,0,0,0,0,0,2,0,0,2,0,0,0,0,0,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Percy_Weasley,7,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,103,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus_Finnigan,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,1,0,0,0,118,0,0,0,0,0,0,0,2,0,0,0
Dean_Thomas,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
Fleur_Delacour,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,11,0
Original_Male_Character,34,9,2,3,5,0,2,2,3,0,3,0,1,0,0,3,0,0,0,1,0,0,1,1,2,0,0,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
Theodore_Nott,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,13,0,0,20,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,63,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Minerva_McGonagall,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lily_Evans_Potter,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nymphadora_Tonks,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1
George_Weasley,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Lavender_Brown,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Cho_Chang,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0
Original_Character,13,1,3,1,6,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
